                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                  0.343,                0.32011,                0.98446,                0.86886,                0.56069,                 0.6525,                0.61841,                 0.3768,                0.73089,                0.98966,               0.003598,               0.003598,               0.003598
                     99,                0.34228,                0.32098,                0.98208,                0.86765,                0.55993,                0.65207,                0.61796,                 0.3814,                0.71722,                0.98694,               0.003532,               0.003532,               0.003532
                    100,                0.33275,                0.30927,                0.97518,                0.88396,                0.55757,                0.65347,                0.61644,                0.37808,                0.70021,                0.98161,               0.003466,               0.003466,               0.003466
                    101,                0.32871,                0.30503,                0.97776,                0.87512,                0.56382,                0.65453,                0.61785,                0.37313,                0.68793,                0.97771,                 0.0034,                 0.0034,                 0.0034
                    102,                0.33164,                0.30625,                 0.9769,                0.87579,                0.56373,                0.65773,                0.62136,                0.37306,                0.70441,                0.98049,               0.003334,               0.003334,               0.003334
                    103,                 0.3301,                0.30782,                 0.9806,                0.85603,                0.56638,                0.66128,                0.62301,                0.37518,                0.71136,                0.98332,               0.003268,               0.003268,               0.003268
                    104,                0.32807,                0.30418,                 0.9752,                0.89177,                0.55673,                0.65447,                0.61682,                0.37453,                0.71746,                0.98407,               0.003202,               0.003202,               0.003202
                    105,                0.32944,                0.30147,                0.97221,                0.89132,                0.55808,                 0.6528,                0.61677,                 0.3747,                 0.7221,                0.98508,               0.003136,               0.003136,               0.003136
                    106,                0.32513,                0.30388,                0.97244,                0.89439,                0.55731,                 0.6534,                 0.6166,                0.37582,                0.72575,                0.98624,                0.00307,                0.00307,                0.00307
                    107,                0.32469,                0.29847,                0.97319,                0.89377,                 0.5541,                0.64944,                0.61503,                0.37519,                0.73504,                0.98279,               0.003004,               0.003004,               0.003004
                    108,                0.32441,                 0.2967,                0.97624,                0.88532,                0.55752,                0.64932,                0.61425,                0.37961,                0.75051,                0.98876,               0.002938,               0.002938,               0.002938
                    109,                0.32016,                0.29351,                0.96877,                0.88161,                0.55524,                0.64756,                0.61493,                0.37779,                0.75143,                 0.9853,               0.002872,               0.002872,               0.002872
                    110,                0.32021,                0.29616,                0.96937,                0.88326,                0.55447,                0.64648,                0.61269,                0.37758,                0.75446,                0.98494,               0.002806,               0.002806,               0.002806
                    111,                0.31637,                0.29363,                0.97093,                0.87787,                0.55563,                0.64483,                 0.6122,                0.37833,                 0.7595,                0.98377,                0.00274,                0.00274,                0.00274
                    112,                0.32142,                0.29256,                0.97059,                0.89001,                0.55117,                0.64574,                0.61372,                 0.3745,                0.74884,                0.97971,               0.002674,               0.002674,               0.002674
                    113,                0.31693,                  0.287,                0.97163,                0.88369,                0.55413,                0.64567,                0.61422,                0.37631,                 0.7526,                0.97762,               0.002608,               0.002608,               0.002608
                    114,                0.31354,                0.28595,                0.96822,                0.88141,                0.55583,                0.64318,                0.61341,                0.37767,                0.75598,                0.97857,               0.002542,               0.002542,               0.002542
                    115,                0.31112,                0.28285,                0.96601,                0.88981,                0.55402,                0.64561,                0.61501,                0.37937,                0.76084,                0.98136,               0.002476,               0.002476,               0.002476
                    116,                0.31296,                0.28417,                 0.9663,                0.88618,                0.55505,                0.64911,                0.61648,                0.37973,                0.74892,                 0.9829,                0.00241,                0.00241,                0.00241
                    117,                0.30846,                0.28265,                0.96473,                0.88681,                0.55209,                0.64725,                0.61275,                0.37919,                0.75258,                0.98199,               0.002344,               0.002344,               0.002344
                    118,                0.30961,                0.28225,                0.96806,                0.88596,                0.55314,                 0.6488,                0.61351,                0.37767,                0.76275,                0.98004,               0.002278,               0.002278,               0.002278
                    119,                0.30684,                0.27567,                0.96281,                 0.8943,                0.54877,                  0.648,                0.61364,                0.37693,                0.76688,                0.98019,               0.002212,               0.002212,               0.002212
                    120,                0.30498,                0.27692,                0.95954,                0.89603,                0.54786,                0.64778,                0.61434,                0.37533,                0.76721,                0.98017,               0.002146,               0.002146,               0.002146
                    121,                0.30323,                0.27398,                0.96408,                0.89799,                0.54845,                0.64939,                0.61502,                0.37538,                0.78001,                0.98263,                0.00208,                0.00208,                0.00208
                    122,                 0.3009,                0.27498,                0.96431,                0.87507,                0.55836,                0.64666,                 0.6138,                0.37687,                 0.7814,                0.98562,               0.002014,               0.002014,               0.002014
                    123,                0.29568,                0.26504,                0.95829,                0.89828,                 0.5496,                0.65022,                0.61688,                0.37985,                0.77929,                0.98625,               0.001948,               0.001948,               0.001948
                    124,                0.29588,                0.26716,                0.95993,                0.88376,                0.55674,                0.65187,                 0.6169,                0.38005,                0.77274,                0.98701,               0.001882,               0.001882,               0.001882
                    125,                0.29426,                0.26684,                0.95872,                 0.8881,                0.55588,                0.64995,                  0.616,                0.37866,                0.76506,                0.98632,               0.001816,               0.001816,               0.001816
                    126,                0.29633,                0.26551,                 0.9582,                0.87988,                0.55905,                0.65029,                0.61582,                0.37792,                0.76722,                0.98512,                0.00175,                0.00175,                0.00175
                    127,                0.29257,                0.26609,                0.95609,                0.89116,                0.55831,                0.64847,                0.61418,                0.37922,                0.77467,                0.98523,               0.001684,               0.001684,               0.001684
                    128,                0.29269,                0.26276,                0.95698,                0.88801,                0.55837,                0.64729,                 0.6148,                0.37763,                0.77703,                0.98327,               0.001618,               0.001618,               0.001618
                    129,                0.28808,                 0.2569,                0.95325,                 0.8872,                0.55802,                0.64695,                0.61486,                 0.3786,                0.78514,                0.98433,               0.001552,               0.001552,               0.001552
                    130,                0.28523,                0.25723,                0.95135,                0.88067,                0.55698,                0.64695,                0.61635,                0.37731,                0.78544,                0.98335,               0.001486,               0.001486,               0.001486
                    131,                0.28652,                 0.2543,                0.95475,                0.87919,                 0.5553,                0.64664,                0.61671,                0.37656,                0.79196,                0.98228,                0.00142,                0.00142,                0.00142
                    132,                0.28477,                0.25459,                 0.9519,                0.88414,                0.55429,                0.64879,                0.61895,                0.37459,                0.79172,                0.97866,               0.001354,               0.001354,               0.001354
                    133,                0.28398,                0.25372,                0.95258,                0.88356,                0.55459,                0.64959,                 0.6196,                0.37328,                0.79267,                0.97812,               0.001288,               0.001288,               0.001288
                    134,                 0.2836,                0.25491,                0.95231,                 0.8842,                0.55536,                0.64896,                0.61839,                0.37316,                0.79106,                0.97851,               0.001222,               0.001222,               0.001222
                    135,                0.28207,                0.25182,                 0.9517,                0.88509,                0.55545,                0.64799,                0.61684,                0.37356,                0.79193,                 0.9791,               0.001156,               0.001156,               0.001156
                    136,                0.28006,                0.25143,                0.95109,                0.88424,                 0.5555,                0.64828,                0.61692,                0.37469,                0.79377,                0.97902,                0.00109,                0.00109,                0.00109
                    137,                0.27833,                0.24386,                0.95008,                0.88505,                0.55529,                0.64944,                0.61817,                0.37486,                0.78624,                0.97969,               0.001024,               0.001024,               0.001024
                    138,                0.28022,                0.24711,                0.95201,                0.88868,                0.55468,                0.65025,                0.61848,                0.37336,                0.78534,                0.97857,               0.000958,               0.000958,               0.000958
                    139,                0.27729,                0.24186,                0.94928,                0.88659,                 0.5545,                0.65011,                0.61922,                0.37278,                0.78576,                0.97776,               0.000892,               0.000892,               0.000892
                    140,                0.27306,                0.24495,                0.94583,                0.88589,                0.55437,                 0.6504,                0.61946,                0.37285,                 0.7859,                0.97754,               0.000826,               0.000826,               0.000826
                    141,                0.17493,                0.15723,                0.87978,                0.88352,                0.55235,                0.64934,                0.61877,                0.37087,                0.78126,                0.97765,                0.00076,                0.00076,                0.00076
                    142,                0.16654,                0.14421,                0.86923,                0.88443,                0.55344,                0.65074,                0.61975,                0.37046,                0.77907,                0.97741,               0.000694,               0.000694,               0.000694
                    143,                0.16451,                0.14506,                0.86881,                0.88146,                0.55499,                0.65007,                0.61944,                0.36896,                0.77879,                0.97725,               0.000628,               0.000628,               0.000628
                    144,                0.15968,                0.13765,                 0.8658,                0.88197,                0.55754,                0.65115,                0.61996,                0.36816,                0.77244,                0.97672,               0.000562,               0.000562,               0.000562
                    145,                0.15622,                 0.1363,                0.86689,                0.88832,                0.55581,                0.65144,                0.62029,                 0.3668,                0.76683,                0.97568,               0.000496,               0.000496,               0.000496
                    146,                0.15381,                  0.133,                0.86308,                0.88919,                0.55567,                0.65283,                0.62182,                0.36665,                0.76828,                  0.976,                0.00043,                0.00043,                0.00043
                    147,                0.15337,                0.13242,                0.86557,                0.88927,                0.55583,                0.65299,                0.62258,                 0.3677,                0.77208,                0.97757,               0.000364,               0.000364,               0.000364
                    148,                0.15304,                0.13055,                0.86384,                0.88728,                0.55478,                0.65423,                 0.6239,                0.36762,                0.77669,                0.97757,               0.000298,               0.000298,               0.000298
                    149,                0.14995,                0.12644,                0.85957,                0.88746,                0.55382,                0.65342,                0.62306,                0.36824,                0.78044,                0.97844,               0.000232,               0.000232,               0.000232
                    150,                0.14801,                0.12732,                0.85894,                0.88702,                0.55304,                0.65508,                0.62487,                0.36878,                0.78242,                0.97955,               0.000166,               0.000166,               0.000166
